TransactionID,CustomerID,Date,ProductCategory,Country,TransactionAmount,LoyaltyScore
TXN00353,CUST0017,2025-06-30,Home & Garden,Germany,267.59,99.0
TXN00690,CUST0058,2026-01-30,Home & Garden,France,84.05,90.0
TXN00486,CUST0195,2025-08-07,Electronics,United States,195.84,71.0
TXN00389,CUST0079,2025-07-03,Electronics,France,140.11,84.0
TXN00032,CUST0188,2025-06-03,Books,United States,385.26,17.0
TXN00443,CUST0136,2025-11-08,Clothing,Spain,419.06,97.0
TXN00199,CUST0074,2026-01-24,Sports,UK,226.45,45.0
TXN00426,CUST0129,2026-01-01,Home & Garden,Spain,322.97,38.0
TXN00108,CUST0148,2026-02-27,Books,Germany,1000.0,39.0
TXN00715,CUST0015,2025-07-12,Clothing,United States,34.77,47.0
TXN00553,CUST0114,2026-01-19,Books,UK,287.04,98.0
TXN00676,CUST0123,2025-03-16,Sports,Spain,120.54,58.0
TXN00159,CUST0037,2025-12-08,Electronics,United States,398.39,77.0
TXN00476,CUST0172,2025-08-03,Electronics,United States,77.37,81.0
TXN00424,CUST0003,2025-08-30,Home & Garden,Spain,349.46,8.0
TXN00211,CUST0124,2025-09-10,Home & Garden,Spain,404.07,60.0
TXN00618,CUST0018,2025-09-24,Books,Canada,170.38,71.0
TXN00484,CUST0096,2025-05-17,Books,Germany,129.17,50.0
TXN00885,CUST0055,2025-12-12,Clothing,UK,187.49,92.0
TXN00651,CUST0007,2025-11-10,Home & Garden,France,24.36,50.0
TXN00245,CUST0111,2025-08-24,Electronics,Spain,401.95774841437634,72.0
TXN00848,CUST0156,2025-07-21,Electronics,Canada,196.89,85.0
TXN00983,CUST0141,2025-08-04,Home & Garden,UK,442.26,56.0
TXN00829,CUST0182,2025-11-10,Home & Garden,France,478.92,67.0
TXN00571,CUST0092,2025-08-11,Electronics,France,116.74,55.0
TXN00060,CUST0090,2025-08-25,Electronics,UK,149.64,57.0
TXN00291,CUST0039,2025-05-08,Home & Garden,United States,401.95774841437634,45.0
TXN00071,CUST0092,2025-10-26,Clothing,Spain,336.8,46.0
TXN00345,CUST0144,2025-10-20,Electronics,Canada,354.98,28.0
TXN00185,CUST0106,2025-07-03,Electronics,Canada,355.56,49.0
TXN00142,CUST0124,2025-05-05,Home & Garden,Spain,488.54,68.0
TXN00391,CUST0123,2025-04-14,Clothing,France,363.38,100.0
TXN00492,CUST0005,2025-12-19,Clothing,France,378.6,92.0
